SK_FACT_PLACEMENT,OFFER_ID,OFFER_LINE_ID,SK_OFFER_DATE,SK_JOIN_DATE,SK_STUDENT,SK_COMPANY,SK_COLLEGE,STUDENT_ID,COMPANY_ID,COLLEGE_ID,OFFER_DATE,EXPECTED_JOIN_DATE,ROLE_TITLE,OFFER_LEVEL,CTC_LPA,MONTHLY_STIPEND,JOB_CITY,HIRING_MODE,OFFER_STATUS,IS_JOINED,IS_ACCEPTED,UPDATED_AT,LOAD_TS,BATCH_ID
5d2f59d95f4762b3e5c62441d3a22f2f,OF9001,1,20260120,20260610,c911a53811768af4810ed15070085f87,2afe3efdd57fc3b13d0dbe857a9d7b8c,5073ca0ddef03d3eb229a66b80eb4636,ST0009,CO004,CL006,2026-01-20,2026-06-10,QA Engineer,INTERN,7.3,58200.0,Noida,ON_CAMPUS,OFFERED,0,0,2026-01-01 10:01:00,1788913807089435,BATCH_20260909_002951
e11411322fdd33f8d1c9c611b56057f6,OF9002,1,20260102,20260623,b1e03bc4dbb65a99724998b15eb221c6,e2d401ee5a9ba517246dd26016726769,bde97b5e33d57389336e22d9753054db,ST0010,CO006,CL012,2026-01-02,2026-06-23,Data Analyst,INTERN,19.17,108549.0,Bengaluru,OFF_CAMPUS,WITHDRAWN,0,0,2026-01-01 10:02:00,1788913807089435,BATCH_20260909_002951
493d16eaf57d6a2fc0c4e534dd86fd71,OF9003,1,20260119,20260618,9d9d65f0cec06a46d04eb76e08b35acd,954a9805522d9b7737786c0b41d73fdf,9128c31a7483f3b584eadbbf0402b51d,ST0019,CO001,CL007,2026-01-19,2026-06-18,Software Engineer,FTE,41.36,0.0,Bengaluru,REFERRAL,JOINED,1,1,2026-01-01 10:03:00,1788913807089435,BATCH_20260909_002951
183830e92120be204ad15e3ad3039102,OF9004,1,20260102,20260603,30a4c3b042337923a7d6024183360e61,60ce35485189716b2a5089346a155b55,66de95f4be29c1081a0f1daee38c0083,ST0020,CO011,CL003,2026-01-02,2026-06-03,Data Engineer,FTE,7.22,0.0,Chennai,OFF_CAMPUS,JOINED,1,1,2026-01-01 10:04:00,1788913807089435,BATCH_20260909_002951
2674fc9720290a3da9c5c64569d677ad,OF9005,1,20260105,20260610,1e0a6a14674ef8eab613fbccd2ee8d08,4241dd9c86faf7f0fb809532191f91ba,64642ce531e425151488bf40aa088e06,ST0003,CO008,CL008,2026-01-05,2026-06-10,Business Analyst,INTERN,40.96,92394.0,Chennai,REFERRAL,ACCEPTED,0,1,2026-01-01 10:05:00,1788913807089435,BATCH_20260909_002951
97225376c3df1954fb228141ab686ada,OF9006,1,20260126,20260714,89efbcee9890e6baedb460cc830ad29b,4a92b6f848a7863ca882f662ff5ade62,db2ae809cfc87760f7a96153de6f6c78,ST0012,CO002,CL002,2026-01-26,2026-07-14,ML Engineer,INTERN,39.78,58801.0,Bengaluru,ON_CAMPUS,REJECTED,0,0,2026-01-01 10:06:00,1788913807089435,BATCH_20260909_002951
0deefcd409fed0eb03b3401b84b3b52b,OF9007,1,20260119,20260602,30a4c3b042337923a7d6024183360e61,60ce35485189716b2a5089346a155b55,66de95f4be29c1081a0f1daee38c0083,ST0020,CO011,CL003,2026-01-19,2026-06-02,Consultant,FTE,28.1,0.0,Chennai,REFERRAL,OFFERED,0,0,2026-01-01 10:07:00,1788913807089435,BATCH_20260909_002951
b4126aa47fc8bca8f515d25031dd614c,OF9008,1,20260103,20260612,8a4a72fcfd85d912bee0e7743bf7c58f,c7f7e46c32eaf5f1bcfded55515c6313,c6e13f5f5e109814224c7e5831b70d40,ST0004,CO005,CL004,2026-01-03,2026-06-12,Consultant,FTE,20.23,0.0,Hyderabad,REFERRAL,WITHDRAWN,0,0,2026-01-01 10:08:00,1788913807089435,BATCH_20260909_002951
e4d0ad93c86796d4ae991570d12a2574,OF9009,1,20260115,20260727,d006abcee7b2b536e7d8072227e8369b,8442f306f7d371180be077643b8649a5,c6e13f5f5e109814224c7e5831b70d40,ST0015,CO014,CL004,2026-01-15,2026-07-27,Data Engineer,INTERN,17.06,24212.0,Bengaluru,ON_CAMPUS,ACCEPTED,0,1,2026-01-01 10:09:00,1788913807089435,BATCH_20260909_002951
7f7a622d9ab51963d2251b63910da3b1,OF9010,1,20260123,20260615,47ba031a4414bcdecb40b313ed08e393,0433b30c6edf0e6171dc3c5a2f5601cd,8677d39e2ddb3c963a95bb6bb416d8ac,ST0016,CO013,CL014,2026-01-23,2026-06-15,ML Engineer,FTE,40.8,0.0,Pune,OFF_CAMPUS,JOINED,1,1,2026-01-01 10:10:00,1788913807089435,BATCH_20260909_002951
